Module                  Size  Used by
asus_nb_wmi            32768  0
processor_thermal_wt_hint    16384  2 processor_thermal_device_pci,processor_thermal_device
mdio_devres            12288  1 r8169
iwlwifi               622592  1 iwlmvm
asus_armoury          114688  0
libphy                192512  3 r8169,mdio_devres,realtek
rapl                   20480  0
spi_nor               212992  0
mei_me                 61440  2
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
processor_thermal_wt_req    12288  1 processor_thermal_device
hid_multitouch         36864  0
i2c_i801               36864  0
intel_cstate           20480  0
intel_uncore          282624  0
mtd                   114688  3 spi_nor
wmi_bmof               12288  0
firmware_attributes_class    12288  1 asus_armoury
pcspkr                 12288  0
cfg80211             1507328  3 iwlmvm,iwlwifi,mac80211
mdio_bus               65536  3 r8169,libphy,realtek
processor_thermal_rfim    40960  1 processor_thermal_device
snd                   159744  21 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm
i2c_smbus              20480  1 i2c_i801
i2c_hid_acpi           12288  0
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
intel_oc_wdt           12288  0
thunderbolt           618496  1 typec
soundcore              16384  1 snd
mei                   204800  5 mei_hdcp,mei_pxp,mei_me
platform_temperature_control    20480  1 processor_thermal_device
i2c_mux                16384  1 i2c_i801
igen6_edac             32768  0
i2c_hid                49152  1 i2c_hid_acpi
intel_pmc_core        131072  0
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
int3403_thermal        16384  0
pmt_telemetry          16384  1 intel_pmc_core
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
int3400_thermal        24576  0
pmt_discovery          20480  1 pmt_telemetry
pinctrl_tigerlake      28672  0
pmt_class              20480  2 pmt_telemetry,pmt_discovery
acpi_thermal_rel       24576  1 int3400_thermal
acpi_tad               20480  0
acpi_pad              184320  0
ip6t_REJECT            12288  1
mac_hid                12288  0
nf_reject_ipv6         24576  1 ip6t_REJECT
xt_hl                  12288  22
ip6t_rt                16384  3
ipt_REJECT             12288  1
nf_reject_ipv4         16384  1 ipt_REJECT
